,Price,Posting_Date,URL,Description,Rooms_and_Sqft,Nearby_Location
39,$1350,Tue 03 Dec 01:20:06 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bi-level-3/7016993882.html,"Spacious, bi-level 3 bedroom available now at 4712 Chestnut St!",3br -, (West Philadelphia)
40,$1350,Tue 03 Dec 01:19:57 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-3bd-15ba/7016996394.html,Spacious 3BD/1.5BA apartment available now at 4704 Chestnut,3br -, (West Philadelphia)
41,$850,Tue 03 Dec 01:20:38 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-available-now-at/7017017259.html,Studio available now at 533 Budd st!,, (University city)
42,$1350,Tue 03 Dec 01:21:14 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-3bd-15ba/7017019471.html,Spacious 3BD/1.5BA apartment available now at 4704 Chestnut,3br -, (West Philadelphia)
43,$850,Tue 03 Dec 01:20:13 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-studio-available/7019520093.html,Renovated studio available now at 533 N Budd street!,, (University city)
44,$840,Tue 03 Dec 01:20:26 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7019535169.html,Great studio available now at 3412 Spring garden st!,, (University city)
45,$950,Tue 03 Dec 01:20:46 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-furnished-1-bedroom/7023325813.html,Furnished 1 bedroom apartment available now at 3412 Spring garden!,1br -, (University city)
46,$850,Tue 03 Dec 01:20:52 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-studio-available/7023329637.html,Renovated studio available now at 533 N Bud street!,, (University city)
47,$790,Tue 03 Dec 01:20:57 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7023337463.html,Great studio available now at 6 S 43rd street!,, (University city)
48,$840,Tue 03 Dec 01:18:08 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7014318337.html,Great studio available now at 3412 Spring garden st!,, (University city)
49,$850,Tue 03 Dec 01:17:55 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7014328820.html,Great studio available now at 533 N Budd street,, (University city)
50,$850,Tue 03 Dec 01:17:48 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7015024649.html,Great studio available now at 533 N Budd street!,, (University city)
51,$840,Tue 03 Dec 01:19:25 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7015661185.html,Great studio available now at 3412 Spring garden!,, (University city)
52,$1350,Tue 03 Dec 01:18:17 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-3bd-15ba/7017012740.html,Spacious 3BD/1.5BA apartment available now at 4704 Chestnut,3br -, (West Philadelphia)
53,$840,Tue 03 Dec 01:18:30 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7017021174.html,Great studio available now at 3412 Spring garden st!,, (University city)
54,$840,Tue 03 Dec 01:19:00 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7019966173.html,Great studio available now at 3412 Spring garden!,, (University city)
55,$1350,Tue 03 Dec 01:19:06 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-3-bedroom/7019970424.html,Spacious 3 bedroom apartment available now at 4712 Chestnut!,3br -, (West Philadelphia)
56,$850,Tue 03 Dec 01:19:14 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7019973848.html,Great studio available now at 533 N Budd street!,, (University city)
57,$850,Tue 03 Dec 01:17:13 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-available-now-at/7012984989.html,Studio available now at 531 Budd st!,, (University city)
58,$840,Tue 03 Dec 01:17:30 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7015029305.html,Great studio available now at 3412 Spring garden!,, (University city)
59,$950,Tue 03 Dec 01:17:24 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-furnished-1-bedroom/7015042959.html,Furnished 1 bedroom apartment available now at 3412 Spring garden!,1br -, (University city)
60,$950,Tue 03 Dec 01:17:18 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-furnished-1-bedroom/7015048791.html,Furnished 1 bedroom apartment available now at 3412 Spring garden!,1br -, (University city)
61,$840,Tue 03 Dec 01:17:07 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7017016030.html,Great studio available now at 3412 Spring garden st!,, (University city)
62,$850,Tue 03 Dec 01:16:44 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-great-studio-available-now/7024602968.html,Great studio available now at 533 N Budd street!,, (University city)
